2026-09-04 05:06:42.540 | INFO     | base_agent.config:load_config:154 - ⛏️ Transformers version: 5.12.1
2026-09-04 05:06:42.540 | INFO     | base_agent.config:load_config:155 - ⛏️ duckduckgo version: 9.4.3
2026-09-04 05:06:42.541 | INFO     | base_agent.config:load_config:156 - ⛏️ Python version: 3.12.14 (main, Sep  1 2026, 14:16:52) [Clang 22.1.3 ]
2026-09-04 05:06:42.541 | INFO     | base_agent.config:load_config:157 - ⛏️ PyTorch version: 2.11.0+cu130
2026-09-04 05:06:42.541 | INFO     | base_agent.config:load_config:158 - ⛏️ CUDA available: True
2026-09-04 05:06:42.541 | INFO     | base_agent.config:load_config:159 - ⛏️ MPS available: False
2026-09-04 05:06:42.541 | INFO     | base_agent.config:load_config:160 - ⛏️ Device: cuda
2026-09-04 05:06:42.542 | INFO     | base_agent.config:load_config:161 - ⚙️ config: {'attribute_branches': [{'name': 'demographic', 'tag_db_dir': './results/open_ecommerce/tag/v4', 'tag_suffix': 'demographic'}, {'name': 'psycho_behavioral', 'tag_db_dir': './results/open_ecommerce/tag/v4', 'tag_suffix': 'psycho_behavioral'}, {'name': 'life_event', 'tag_db_dir': './results/open_ecommerce/tag/v4', 'tag_suffix': 'life_event'}], 'out_dir': './results/open_ecommerce/judge_user_attribute', 'log_dir': './logs/open_ecommerce/judge_user_attribute', 'purchases_csv': './data/public/open-ecommerce/amazon-purchases.csv', 'min_unique_buyers': 3, 'survey_csv': './data/public/open-ecommerce/survey.csv', 'prompt_path': './configs/prompt/open-ecommerce/judge_user_attribute.txt', 'db_prompt_path': './configs/prompt/open-ecommerce/judge_user_attribute_db.txt', 'enable_db': True, 'enable_baseline': False, 'enable_signals': False, 'baseline_max_titles_per_user': 500, 'log_first_n': 3, 'debug_num_user': 10, 'model_name': './models/Qwen3.5-4B', 'torch_dtype': 'bfloat16', 'max_new_tokens': 16384, 'json_max_tokens': 2048, 'max_model_len': 32768, 'use_vllm': True, 'batch_size': 1000, 'tensor_parallel_size': 1, 'trust_remote_code': True, 'seed': 3407, 'gpu_memory_utilization': 0.9, 'enforce_eager': True, 'enable_prefix_caching': True, 'enable_cache': True, 'enable_thinking': False, 'begin': None, 'end': None, 'device': device(type='cuda'), 'serp_api_token': None, 'serper_api_token': None, 'timestamp': '2026-09-04_14-06-42'}
2026-09-04 05:06:42.542 | INFO     | __main__:main:174 - 🧭 modes: enable_db=True enable_baseline=False
2026-09-04 05:06:45.751 | INFO     | judge_user_attribute.dataset:load_purchases:172 - 🛒 loaded purchases: 1760977 rows, 5023 users
2026-09-04 05:06:48.933 | INFO     | judge_user_attribute.dataset:filter_purchases_by_min_buyers:181 - 🔍 filter min_unique_buyers=3: 824,722 titles → 97,260 titles kept, 1,760,977 rows → 828,218 rows
